user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
oelhatab,Waitlisted,3.84,173.0,,,,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
SojuJess,Waitlisted,4.07,172.0,,,,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LegallyBlondeAF,Waitlisted,3.87,174.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ReadyDullWizard,Rejected,3.59,165.0,0 years (KJD),,2024-10-21,2024-10-22,2024-10-22,2024-10-22,,,2024-12-04,Early Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,early,0.0,,,,,False,False,Rejected
eNumerousTaco,Pending,3.93,175.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PrimalHotDoggs69,Pending,3.78,171.0,,,2024-11-06,2024-11-08,2024-11-08,2024-11-10,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
AliveDeadYogurt,Pending,3.92,172.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GiganticThickChicken,Waitlisted,3.94,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,True,,,,,,,,False,False,Waitlisted
ShrillRottenMongoose,Rejected,3.73,,,,2025-01-02,2025-01-02,2025-01-03,,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
magictwinx,Rejected,4.15,166.0,0 years (KJD),,2025-01-03,2025-01-03,2025-01-06,2025-01-06,,,2025-01-30,Early Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,early,0.0,,,,,False,False,Rejected
randomnumbergenerator,Rejected,3.89,168.0,0 years (KJD),,2025-02-14,2025-02-17,2025-02-17,,,,2025-04-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
MonateMonna,Rejected,3.6,165.0,1-4 years,,,,2024-11-04,,,,2024-12-18,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
RedRosie8497,Pending,,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SpiritualStingray,Pending,4.22,175.0,0 years (KJD),,2024-11-20,,2024-11-21,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
AlluringAquaticAnt,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
MarvelousNiftyLion,"WL, Withdrawn",3.78,172.0,1-4 years,,2024-11-27,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
Fefo192,"WL, Withdrawn",3.88,172.0,,,2024-10-11,2024-10-14,2024-10-14,2024-10-14,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Deimos,Pending,3.86,168.0,,,2025-01-06,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Newyorkhope,Pending,,173.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FaultyThinkableGargoyl,Pending,3.73,171.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
StupendousPanickyHornet,Pending,3.93,174.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LSD-LAW9000,Pending,4.13,174.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FinickyObservantGorgon,Rejected,3.89,169.0,,,,,2025-01-06,,,,2025-04-18,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,True,accepted Hazing charge in undergrad,,,,,,,False,False,Rejected
yasspurrslay,Waitlisted,3.95,171.0,,,2024-12-17,2024-12-17,2024-12-18,,,,2025-03-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
CuteInvestment,Pending,3.98,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
MassiveWrathfulDandelion,Pending,3.4,169.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
bblizardbreath,Pending,3.71,172.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SecretiveSilentAardvark,Rejected,3.98,164.0,,,2024-11-27,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
InnatelyJD,Accepted,3.88,164.0,,"$126,000, requested reconsideration 114k -> 126k",2024-12-11,2024-12-11,2024-12-12,2024-12-12,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,126000,False,requested reconsideration 114k -> 126k,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DisinterestRates,"WL, Withdrawn",4.0,175.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
CravenLovingKoala,Pending,4.26,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gregmovies,Accepted,4.0,177.0,,,2024-11-23,2024-11-24,2024-11-25,2024-11-23,,,2025-03-11,Regular Decision,2025-06-13T15:24:42Z,,False,,True,unsolicited,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
boopboopbop,Waitlisted,3.99,166.0,,,2024-10-01,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
AbjectCobra,"WL, Withdrawn",3.95,168.0,1-4 years,,,,,,,,2025-02-14,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
AbundantElatedTank,Waitlisted,3.93,179.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
ItsYourGirlV,Rejected,4.0,156.0,5-9 years,,2024-10-26,,2024-10-28,,,,2024-12-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Rejected
FriendlyAbhorrentMinotaur,Waitlisted,4.01,176.0,0 years (KJD),,2024-11-28,,2024-12-03,2024-12-04,,,2025-03-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,True,late withdraws and large gap in education,regular,0.0,,,,,False,False,Waitlisted
ParallelAgreeableOrangutan,"WL, Withdrawn",3.98,176.0,,,2025-02-15,,,,,,2025-04-22,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Hahahahuhuhu,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PoliteAbstractedRobin,Pending,3.88,172.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Maybuggie,Rejected,4.05,162.0,0 years (KJD),,2024-11-30,2024-12-01,2024-12-02,2024-12-02,,,2025-02-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
RoisterousMarsupial,"WL, Withdrawn",3.86,174.0,5-9 years,,2024-09-16,2024-09-17,2024-09-23,2024-09-24,,,2025-01-22,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,True,"school discipline for peaceful protesting, separately took a year off (medical leave)",regular,5.0,,,,,False,False,WL
TerrificVivaciousCattle,Rejected,3.82,170.0,,,,,,,,,2025-03-18,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
