user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Leegion555,Rejected,3.73,144.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
llama,Rejected,4.0,161.0,1-4 years,,2024-09-26,,,,,,2024-11-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,speed ticket,regular,4.0,,,,,False,False,Rejected
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$54,000",,,,,,,2025-02-13,,2025-06-13T15:24:44Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$84,000",2024-09-07,,2024-09-07,,,,2024-10-28,Regular Decision,2025-06-13T15:24:44Z,84000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
QuirkySourSwallow,Accepted,2.59,154.0,,"$66,000",,,,,,,2024-11-21,,2025-06-13T15:24:45Z,66000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
rchandler15,Accepted,3.59,157.0,,,,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
NagiruDeadpanBarnacle,Accepted,3.2,155.0,,,,,,,,,2025-03-18,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WhisperingTalentedFox,Accepted,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GlibHistoricalTortoise,Accepted,4.0,158.0,,"$129,450, Fee Waiver: unsolicited",,,,,,,2024-12-11,,2025-06-13T15:24:48Z,129450,False,,True,unsolicited,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
VivaciousCurvedLeopard,Pending,2.77,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
mrphalanges,accepted,3.82,155.0,,"$90,000",,,,,,,2025-02-14,Regular Decision,2025-06-19T21:37:14Z,90000,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
ARhetoricalFoxhound,Accepted,3.1,153.0,5-9 years,"$60,000",,,,,,,2024-11-11,,2025-06-13T15:24:54Z,60000,False,,False,,False,White,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
VioletTangyPhoenix,Accepted,2.9,172.0,1-4 years,,,,,,,,2024-12-03,,2025-06-13T15:24:54Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
SWVAGirl23,Pending,3.57,157.0,,,,,,,,,,,2025-06-13T15:24:55Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DurfLord,Accepted,3.55,151.0,1-4 years,"$34,500",2025-03-12,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:55Z,34500,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
Futurelawyersgf,Accepted,3.2,155.0,,,,,,,,,2025-03-18,,2025-06-13T15:24:57Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
IslandBoy714,Accepted,3.2,150.0,,,,,,,,,2024-12-05,Priority Track,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,False,False,False,False,,priority,,,,,,False,False,Accepted
Cpt1998,Accepted,4.0,155.0,5-9 years,,,,,,,,2025-06-11,,2025-06-13T15:25:00Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
lawschool-bound2022,Accepted,3.15,160.0,1-4 years,"$105,000",2025-04-30,,,,,,2025-05-07,,2025-06-13T15:25:10Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
HappyLawfulSalamander546,rejected,2.75,147.0,,,2025-06-25,2025-06-25,2025-06-25,,,,2025-07-11,Regular Decision,2025-07-11T13:15:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,rejected
MadlyDispensableManatee,Pending,,,,,,,,,,,,,2025-06-13T15:24:55Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
