user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
HopefulOtter1118,Accepted,2.63,167.0,5-9 years,"$15,000",2025-01-02,2025-01-02,2025-01-06,,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,15000,False,,False,,False,White,True,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
DC-TX-LA-PA-WI-CO-orBust,"WL, Withdrawn",2.99,162.0,10+ years,,2025-02-05,,2025-03-10,2025-03-10,,,2025-03-27,Regular Decision,2025-06-30T00:16:05Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,WL
Wesquire,Accepted,3.65,163.0,,"$120,000",,,,,,,2024-12-18,,2025-06-13T15:24:42Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LemonCoast,Pending,,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
barrendesert,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
goodcop237,Accepted,3.41,168.0,1-4 years,"$127,500",2024-11-06,2024-11-06,2024-11-18,2024-11-18,,,2024-12-02,Regular Decision,2025-06-13T15:24:42Z,127500,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
coolguy,Pending,3.64,,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,True,False,Pending
CleverBustlingDragon,Accepted,3.68,156.0,5-9 years,,2024-10-08,2024-10-10,2024-10-14,2024-10-16,2024-10-16,,2024-10-28,Priority Track,2025-09-24T15:32:55Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,priority,9.0,,,,,False,False,Accepted
lawyergirl1001,Waitlisted,3.65,,,,,,,,,,2024-10-10,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
WingKing,"WL, Withdrawn",3.41,162.0,1-4 years,,2025-01-08,,,2025-01-10,,,2025-02-12,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
natiisscared12,Accepted,3.79,165.0,1-4 years,"$166,500",,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,166500,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Kstepper,Waitlisted,3.99,153.0,,,2025-02-03,,,,,,2025-03-18,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DiscreetSuperficialBrain,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GingerbreadDuckling,Accepted,3.97,166.0,,,,,,,,,2024-12-03,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
catherinethelawyer,Accepted,3.66,161.0,5-9 years,"$127,500, Conditional, must stay in top half of the class, Fee Waiver: unsolicited, silent",2024-12-22,2024-12-22,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,127500,True,must stay in top half of the class,True,"unsolicited, silent",False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
randomlawschoolapplicant262,Accepted,3.81,151.0,,,,,,,,,2025-03-25,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AmbitiousCourageousBrain,Pending,3.5,149.0,,,2025-05-29,2025-05-29,2025-05-30,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
sugarsyrup,"WL, Withdrawn",3.94,,1-4 years,,2025-02-10,,2025-02-13,2025-03-18,,,2025-03-31,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
UnnaturalRealPepper,Accepted,3.64,168.0,1-4 years,"$136,500",,,,,,,2025-01-14,,2025-06-13T15:24:43Z,136500,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
InquisitiveYouthfulWildebeest,Pending,3.53,152.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
PluckyAvailableStingray,Rejected,3.4,156.0,,,2024-10-23,2024-10-25,2024-11-04,2024-11-06,,,2024-12-03,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
EarthyDeafeningMonster,"WL, Withdrawn",4.0,158.0,1-4 years,,2025-01-03,2025-01-03,2025-01-21,2025-03-18,,,2025-03-27,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
ZanyGustyBison,Pending,3.62,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,True,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
Emmalischka,Accepted,3.5,160.0,,"$75,000",,,2025-01-28,2025-02-20,,,2025-03-04,,2025-06-13T15:24:44Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legaleaglewannabe,Accepted,3.67,162.0,,"$130,500",2024-11-27,,2024-12-04,2024-12-09,,,2024-12-13,Regular Decision,2025-06-13T15:24:44Z,130500,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DullAxiomaticCow,Accepted,4.18,154.0,,"$54,000",2024-12-01,,,,,,2024-12-18,,2025-06-13T15:24:44Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
sour-candy,Rejected,3.57,149.0,5-9 years,,2025-02-20,,,,,,2025-04-17,,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Rejected
LilSebastianStan,Waitlisted,3.86,151.0,1-4 years,,2024-11-26,,,2024-12-09,,,2024-12-13,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Buttertoast681,Pending,3.95,,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
georgeoscarbluth,Accepted,3.96,163.0,,"$166,500, Conditional",2024-12-07,,,,,,2024-12-18,,2025-06-13T15:24:44Z,166500,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
EightCautiousTarantula,Pending,3.73,164.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
