user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ARandomPerson,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
TriteKnownCalf,Accepted,3.72,166.0,0 years (KJD),"$45,000",,,,,,,2025-04-14,,2025-06-13T15:24:42Z,45000,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
AbashedHandsomelySphinx,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BroadGlisteningReader,Accepted,3.96,173.0,0 years (KJD),,,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
pipsqueak,"WL, Withdrawn",3.98,167.0,1-4 years,,2024-11-11,2024-11-12,2024-02-05,2025-02-05,,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
BumpySoreMoose,Waitlisted,3.59,170.0,,,,,,2024-12-03,,,2025-04-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ItsYourGirlV,Pending,4.0,156.0,5-9 years,,2024-11-12,,2024-11-21,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Pending
NoxiousAnnoyedSloth,"WL, Withdrawn",3.7,164.0,,,2024-11-16,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,,,,,,False,False,WL
PluckyKeenLoon,Waitlisted,3.88,165.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
DuLSATPeep,Pending,3.59,158.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
rocco123,Accepted,4.06,169.0,,"$140,100, Full tuition",,,,,,,2024-12-17,,2025-06-13T15:24:43Z,140100,False,Full tuition,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
jacobcollins828,"accepted, Attending",3.97,165.0,,"$60,000",2024-11-02,2024-11-11,2024-11-11,2024-11-28,2024-12-03,,2025-03-20,Regular Decision,2025-10-07T12:49:49Z,60000,False,,False,,False,,False,True,False,False,True,False,False,,regular,,,,,,False,False,accepted
ThickCautiousSeal,Rejected,3.79,161.0,,,2024-11-04,,,,,,2025-04-16,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ZonkedSpuriousPrawn,Rejected,3.12,159.0,10+ years,,2024-12-02,2024-12-03,2025-01-03,,,,2025-04-16,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,17.0,,,,,False,False,Rejected
Cubsfan44,"WL, Withdrawn",3.94,168.0,,,2025-01-06,,,,,,2025-04-18,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
YieldingCharmingWalnut,"WL, Withdrawn",3.72,171.0,10+ years,,2024-12-06,2024-12-07,,2024-12-09,2024-12-16,,2025-02-12,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,11.0,,,,,False,False,WL
INeedAProzac,"WL, Withdrawn",3.04,168.0,,,2025-02-21,2025-02-25,2025-02-25,,,,2025-05-13,Regular Decision,2025-06-13T15:24:46Z,,False,,True,"Unsolicited, streamlined application",False,White,False,False,False,True,False,False,True,"Fired from a job, took an academic break",regular,,,,,,False,False,WL
MrHopOutThatVehicleAndWalkEmDownOnAWednesday,Accepted,3.94,168.0,,"$120,000",,,,,,,2025-04-14,,2025-06-13T15:24:43Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TearfulScaredNewt,Waitlisted,,,,,2024-10-08,,,,,,2025-03-15,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
QueenPiggy,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ALLin3,Waitlisted,3.87,157.0,,,2025-01-22,,,,,,2025-03-28,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
antman9394,Accepted,,,,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ptwob,Accepted,3.19,169.0,1-4 years,,2024-11-20,,,2024-11-27,,,2025-02-12,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,True,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
ZonkedPiranha,Waitlisted,3.73,157.0,,,2024-09-01,2024-09-01,2024-09-09,2024-09-09,2024-10-02,,2025-02-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,East Asian,False,False,False,False,False,False,True,,regular,,,,,,False,False,Waitlisted
TanGuiltlessWeasel,Pending,3.68,165.0,,,2025-01-28,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Swiftie4Life,"WL, Withdrawn",3.59,175.0,5-9 years,,2024-10-07,2024-10-08,2024-11-19,2024-11-21,2024-12-03,,2025-03-30,Regular Decision,2025-06-13T15:24:47Z,,False,,True,Requested via email,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
supercoolrandomperson,Waitlisted,3.96,160.0,,,2024-10-21,2024-10-23,2024-10-23,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
CreamySGS,"WL, Withdrawn",3.63,168.0,1-4 years,,2025-01-10,2025-01-10,2025-01-13,2025-01-16,,,2025-04-09,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
SpottyTenseMoth,Accepted,3.57,177.0,1-4 years,"$75,000",,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:44Z,75000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
FineDeliriousDragon,"Accepted, Withdrawn",3.56,172.0,5-9 years,,2024-11-01,2024-11-02,2024-11-02,2024-11-06,,,2024-11-22,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,9.0,,,,,False,False,Accepted
EqualGrouchyHamster,Pending,3.5,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
EmbarrassedEnchantedArmadillo,Accepted,3.99,168.0,,"$152,000",2024-11-01,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:44Z,152000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Skystrikezz,Accepted,3.52,174.0,1-4 years,,,,,,,,2025-01-07,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TediousSpottedTerrier,Pending,3.25,179.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,True,False,False,False,False,False,True,,,2.0,,,,,False,False,Pending
WasabiDinosaur,Pending,3.82,159.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
itsma,Waitlisted,3.93,157.0,1-4 years,,2024-09-01,2024-09-25,,2024-10-02,,,2025-02-13,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
RabidVastCyclops,Pending,3.71,180.0,,,,,2024-12-03,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CutieSplitter,Rejected,2.36,163.0,1-4 years,,2025-01-05,2025-01-07,2025-02-06,2025-03-07,2025-03-18,,2025-04-18,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academic warning,regular,4.0,,,,,False,False,Rejected
lukemia,Pending,3.68,169.0,,,2025-01-29,,2025-01-29,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
tslaw,Rejected,3.77,145.0,,,2025-02-05,,,,,,2025-04-25,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
FestiveWorriedSwordfish,Waitlisted,3.5,168.0,1-4 years,,2025-02-21,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,unsolicited,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
HayesState03,Rejected,3.12,164.0,1-4 years,,2025-02-05,2025-02-07,2025-02-07,2025-02-10,,,2025-05-14,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,True,Speeding ticket,regular,1.0,,,,,False,False,Rejected
RottenVersedChicken,Pending,3.52,161.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
LawSchool1831,Waitlisted,4.0,150.0,,,2025-02-26,2025-02-27,,2025-03-07,,,2025-04-03,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WarmNinePrawn,Waitlisted,3.51,157.0,0 years (KJD),,,,,,,,2025-04-07,,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
HippoDad,Pending,3.94,175.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Vergilius,Accepted,3.84,170.0,1-4 years,"$108,000",,2024-11-11,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:45Z,108000,False,,False,,False,White,False,False,False,False,False,False,True,2 undergrad alcohol housing violations,regular,1.0,,,,,False,False,Accepted
HopefulSouthernBelle,Pending,3.93,166.0,,,2024-10-29,2024-10-29,2024-11-12,2024-10-30,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
butterbean101,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
LawyerJodie,Pending,3.15,163.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LJRob,Waitlisted,3.01,161.0,5-9 years,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Waitlisted
Eldermillenial,Pending,3.58,166.0,10+ years,,2024-10-18,,2024-11-12,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Honor council,regular,20.0,,,,,False,False,Pending
BusyHonorableLionfish,Pending,4.24,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
QueenSwissMiss,Pending,3.0,164.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
EsquireEntourage,"Accepted, Withdrawn",4.09,172.0,1-4 years,"$140,100, Full Ride for OOS",,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:46Z,140100,False,Full Ride for OOS,True,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
gullibleprune,Rejected,3.26,157.0,5-9 years,,,,,,,,2025-04-17,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Rejected
SuperSplitterWithaDream,Waitlisted,2.8,170.0,1-4 years,,,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Academic Probation,regular,3.0,,,,,False,False,Waitlisted
HelpfulTiger,Pending,3.6,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CashCarti,Rejected,3.69,158.0,,,,,,,,,2025-03-31,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
GentlemanScholar,Accepted,3.75,170.0,0 years (KJD),,,,,,,,2025-06-01,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
eightgod,Pending,3.72,173.0,,,2025-01-03,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
BlueberriesBarrel,"WL, Withdrawn",3.09,165.0,1-4 years,,2025-01-23,2025-01-24,2025-01-27,2025-01-29,,,2025-03-16,Regular Decision,2025-06-13T15:24:58Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
ExultantHomelessManta,Pending,3.84,166.0,10+ years,,2024-09-15,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
psa-with-guitar,Accepted,3.88,168.0,,"$114,000",2025-01-29,2025-01-29,2025-01-29,2025-01-30,2025-02-12,,2025-04-11,Regular Decision,2025-06-13T15:24:46Z,114000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Jocava,Waitlisted,3.22,170.0,10+ years,,2024-11-02,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,14.0,,,,,False,False,Waitlisted
GoodSilentSeahorse,Pending,3.57,163.0,1-4 years,,2024-12-07,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
