user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Dam,Pending,3.67,146.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
marmiteontoast,Pending,,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic suspension freshman year,regular,8.0,,,,,False,False,Pending
LegallyBlondeAF,Accepted,3.87,174.0,,"$201,000",,,,,,,2024-12-17,Regular Decision,2025-06-13T15:24:42Z,201000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ericapebenito,Pending,3.8,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
YankeesWS25,Pending,3.79,165.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
Reallyhopeful2025,Accepted,3.87,161.0,1-4 years,"$174,000",2024-11-27,,,,,,2025-01-16,,2025-06-13T15:24:42Z,174000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Basalt,Pending,3.3,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
LordSplitterXVIII,"WL, Withdrawn",3.0,170.0,1-4 years,,2024-10-04,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,LSAC forum,False,,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
Asfooooor,Waitlisted,3.45,155.0,1-4 years,,,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
AdaptableFadedWalnut,Accepted,3.54,158.0,,"$60,000",,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
reebs024,Rejected,3.3,153.0,,,,2025-03-17,,,,,2025-05-07,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
GlisteningMaterialUnicorn,Rejected,3.4,154.0,1-4 years,,2024-11-30,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
MagnificentSulkyKnight,Pending,3.48,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
LegallyDreaming,"WL, Withdrawn",3.53,157.0,,,2024-11-29,,2024-12-06,2025-01-17,,,2021-02-13,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
SWise03,Rejected,3.68,145.0,,,2025-01-27,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Lawhopeful1219,"WL, Withdrawn",2.96,157.0,5-9 years,,2024-10-04,2024-10-07,2024-10-07,2024-11-15,,,2025-01-21,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,,9.0,,,,,False,False,WL
ULB,"WL, Withdrawn",3.07,160.0,5-9 years,,2024-12-03,2024-12-04,2024-12-13,,,,2025-02-25,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
tennisgirl303,Waitlisted,3.55,160.0,,,2024-11-26,,,,,,2025-02-12,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CleverBustlingDragon,Pending,3.68,156.0,5-9 years,,,,,,,,,Priority Track,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,priority,9.0,,,,,False,False,Pending
