user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Peruvianprince,Rejected,3.84,152.0,1-4 years,,2025-02-06,2025-02-07,2025-02-10,,,,2025-04-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
jackbenimble,Accepted,3.44,168.0,10+ years,"$45,000",2024-11-24,,2024-11-25,,,,2025-02-12,Regular Decision,2025-06-13T15:24:42Z,45000,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Accepted
gamblinglawyer,Waitlisted,3.66,158.0,5-9 years,,,,,,,,2025-01-31,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Waitlisted
LivingUnderABigRock,Rejected,2.8,161.0,5-9 years,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
Emmalischka,"WL, Withdrawn",3.5,160.0,,,,2025-01-14,2025-02-03,2025-03-03,,,2025-03-05,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
PuzzledExcellentCentipede,"WL, Withdrawn",3.5,161.0,,,2025-01-08,2025-03-05,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
JealousWaitingPlatypus,Accepted,3.98,160.0,,"$50,250, Reconsiderationb + 1,750/year",,,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,50250,False,"Reconsiderationb + 1,750/year",True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2024-11-25,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
TomorrowisAlreadyHere8097,Rejected,3.9,155.0,0 years (KJD),,2024-11-27,,,2025-01-15,2025-01-15,,2025-01-16,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
liliumlex,Accepted,4.0,167.0,1-4 years,"$60,000, not really conditional but must maintain FT status; upped from 45K, Fee Waiver: signed up for info session to get fw",2025-01-02,2025-01-03,,2025-02-12,,,2021-02-20,Regular Decision,2025-06-13T15:24:43Z,60000,False,not really conditional but must maintain FT status; upped from 45K,True,signed up for info session to get fw,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
dg02,Accepted,3.65,165.0,1-4 years,"$45,000",2025-02-28,2025-02-28,2025-03-03,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,45000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
-she-doesnt-even-go-here-,"WL, Rejected",3.72,154.0,1-4 years,,2025-02-01,,,,,,2025-04-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,"WL, Rejected"
MrCoach,Waitlisted,3.65,159.0,10+ years,,2024-09-05,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Waitlisted
DisgustedKnowingSnail,Pending,2.6,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Pending
All-PowerfulThoughts,Pending,2.9,158.0,5-9 years,,2025-01-12,2025-01-14,2025-01-14,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
Swizzle,Pending,3.78,165.0,1-4 years,,2025-02-01,2025-02-01,2025-02-04,2025-02-18,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
Aguyiguess,Rejected,3.4,156.0,10+ years,,2025-02-05,2025-02-05,2025-02-06,,,,2025-03-07,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
BeneaththeWheel,Rejected,3.94,164.0,0 years (KJD),,2024-10-19,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
JDJr,Rejected,3.24,159.0,0 years (KJD),,,,,,,,2025-04-12,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
Whispering-Dachshund,Rejected,4.1,161.0,1-4 years,,2025-03-01,,2025-03-03,,,,2025-04-09,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
possiblesplitterbutidk,Accepted,4.02,162.0,0 years (KJD),"$60,000, Initial offer 45k, submitted reconsideration form 2/14, received 15k extra on 2/20",2024-11-30,2024-12-02,2024-12-03,2025-01-16,,,2025-01-22,Regular Decision,2025-06-13T15:24:44Z,60000,False,"Initial offer 45k, submitted reconsideration form 2/14, received 15k extra on 2/20",True,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
SlimyRelievedFowl,Waitlisted,3.44,157.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
cardiackemba15,"accepted, Withdrawn",3.61,162.0,,"$45,000",2025-02-02,2025-02-02,2025-02-04,,,,2025-03-05,Regular Decision,2025-07-03T16:49:33Z,45000,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,accepted
NaturalPanickyTomato,Waitlisted,3.61,172.0,0 years (KJD),,2024-11-28,2024-11-28,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
UttermostIndustriousCrab,Accepted,3.97,174.0,,"$96,570",2024-09-24,,,,,,2024-11-21,,2025-06-13T15:24:44Z,96570,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SecretiveNonchalantWolverine,"WL, Withdrawn",3.78,158.0,,,2024-11-24,,2024-11-25,2025-01-06,,,2025-01-24,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
HardNarrowGoblin,Accepted,3.86,153.0,,,,,,,,,2025-01-30,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
NutritiousHollowCamel,Waitlisted,3.96,152.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Coinplatypus,Accepted,2.5,165.0,5-9 years,,2024-12-05,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
ObservantManiacalGreyhound,"WL, Rejected",3.9,161.0,,,,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
SlaymeHunnyBarrett,"WL, Withdrawn",3.48,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,10.0,,,,,False,False,WL
Abistotle,Pending,3.1,155.0,1-4 years,,2024-09-03,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
BlueBunny,Rejected,3.84,160.0,1-4 years,,2024-10-23,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
CashCarti,Waitlisted,3.69,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DraconianLuckyGreyhound,Accepted,3.81,159.0,,"$30,000",2024-11-09,2024-11-12,,,,,2024-12-18,,2025-06-13T15:24:46Z,30000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
OutrageousGlisteningKoala,Pending,4.0,167.0,,,2025-02-05,2025-02-05,2025-02-06,2025-03-05,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
SaltyBridgeTroll,Accepted,2.54,175.0,10+ years,"$45,000",2025-01-31,,,,,,2025-02-19,,2025-06-13T15:24:47Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,13.0,,,,,False,False,Accepted
HarmonyCobel,Accepted,3.7,167.0,1-4 years,"$44,000",,,,,,,2025-02-22,,2025-06-13T15:24:47Z,44000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
ReallyPinkDog,Rejected,3.25,158.0,,,2025-02-27,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
BrainyFinickyBeagle,Rejected,3.6,157.0,1-4 years,,,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
WoodenDysfunctionalDemogorgon,Pending,,,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
oracleatlaw,Accepted,3.78,163.0,,"$78,000, Conditional, Jayhawk Scholarship, Full Tuition",2024-12-12,2024-12-12,2024-12-13,2025-02-03,,,2025-02-12,Regular Decision,2025-06-13T15:24:47Z,78000,True,"Jayhawk Scholarship, Full Tuition",False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ArcytekturelySound,Rejected,3.28,159.0,,,,,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ElatedPaleBear,Pending,,,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
jached,Pending,3.76,,,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
RiptideSuit,Waitlisted,3.65,,1-4 years,,2025-02-12,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
KnowledgeableAvailableGiraffe,Accepted,3.79,168.0,0 years (KJD),"$92,232, Conditional",2024-11-01,2024-11-04,2024-11-04,2024-12-16,,,2024-12-20,Regular Decision,2025-06-13T15:24:48Z,92232,True,,True,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
JollyFluffyCactus,"WL, Rejected",3.4,159.0,5-9 years,,2024-10-30,2024-10-31,2024-11-01,,,,2025-01-24,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,"WL, Rejected"
BrainyAmbitiousCuscus,Accepted,4.0,166.0,,"$93,000",2024-10-23,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:48Z,93000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PlausibleOutrageousBlackbird,"WL, Withdrawn",3.99,161.0,1-4 years,,2024-11-26,2024-11-26,2024-12-03,2025-01-15,,,2025-01-28,Regular Decision,2025-06-13T15:25:08Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
PicayuneParallelRattlesnake,Accepted,3.99,162.0,,"$45,000",,,,,,,2025-02-26,,2025-06-13T15:24:49Z,45000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FabulousOddBonobo,Pending,,,5-9 years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
ManiacalAcid,Accepted,3.89,166.0,,"$96,000, Conditional",,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:49Z,96000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ProtectiveWantingSloth,Rejected,3.98,160.0,,,2025-02-19,,,,,,2025-04-09,,2025-06-13T15:24:49Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
PossibleWarmBread,Accepted,3.9,155.0,,"$22,500",2025-02-08,2025-02-10,2025-02-10,,,,2025-03-07,,2025-06-13T15:24:49Z,22500,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Huckleberry19,Accepted,3.67,162.0,1-4 years,"$45,000",2025-01-14,2025-01-14,,,,,2025-02-22,Regular Decision,2025-06-13T15:24:49Z,45000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Nellsworld,Rejected,3.2,150.0,10+ years,,2024-09-02,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,False,,regular,17.0,,,,,False,False,Rejected
