user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Barbzstayinschoolll,Waitlisted,3.91,160.0,1-4 years,,2024-12-01,,,,,,2025-04-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
AliveDeadYogurt,Accepted,3.92,172.0,,,,,,,,2025-01-09,2025-01-31,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GreyPlantPickle,Waitlisted,3.95,170.0,,,2024-12-31,2024-12-31,2025-01-03,,,2025-02-12,2025-04-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WhimsicalInterestingNibbler,Rejected,3.59,174.0,,,,,,,,2025-01-09,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ToasterPoogle,Rejected,3.63,157.0,1-4 years,,2024-11-25,,2024-12-05,,,,2025-02-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Newyorkhope,Pending,,173.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
smellgoodroot,Accepted,4.0,173.0,,,,,,,,,2025-04-11,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
oelhatab,Accepted,3.84,173.0,,"$105,000",,,,,,,2024-11-26,Regular Decision,2025-06-13T15:24:42Z,105000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AllegedAcidFrog,Rejected,3.7,165.0,,,2024-11-12,2024-11-12,2024-11-19,,,,2025-01-13,Early Decision,2025-06-13T15:24:42Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,early,,,,,,False,False,Rejected
MiniatureCarefulLettuce,Waitlisted,3.75,176.0,1-4 years,,2024-11-27,,2024-12-05,,,2025-01-02,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
LavishZonkedPraline,Waitlisted,3.95,163.0,,,2024-12-31,,,,,,2025-04-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
AllegedEnchantingTerrier,Pending,3.55,176.0,0 years (KJD),,2025-01-08,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
